Reference; Quantity; Footprint; Value; Voltage; Type; Description; Tolerance; Size; Power; Current; 
R207 ;1;SMD-0805;33k;';';'Thick or thin film resistor;'1%;'0805;'100mW;';
R212 ;1;SMD-0805;36k;';';'Thick or thin film resistor;'1%;'0805;'100mW;';
R213 ;1;SMD-0805;11k5;';';'Thick or thin film resistor;'1%;'0805;'100mW;';
R215 ;1;SMD-0805;220;';';'Thick or thin film resistor;'1%;'0805;'100mW;';
R304 R305 R306 R307 R313 R430 R431 R432 ;8;SMD-0805;75;';';'Thick or thin film resistor;'1%;'0805;'100mW;';
R302 R308 R309 R612 R703 R844 ;6;SMD-0805;10k;';';'Thick or thin film resistor;'1%;'0805;'100mW;';
R310 ;1;SMD-0805;360;';';'Thick or thin film resistor;'1%;'0805;'100mW;';
R311 R709 R710 R711 ;4;SMD-0805;100;';';'Thick or thin film resistor;'1%;'0805;'100mW;';
R312 ;1;SMD-0805;91;';';'Thick or thin film resistor;'1%;'0805;'100mW;';
R411 R701 ;2;SMD-0805;1;';';'Thick or thin film resistor;'1%;'0805;'100mW;';
R503 ;1;SMD-0805;1Meg;';';'Thick or thin film resistor;'1%;'0805;'100mW;';
R507 R512 ;2;SMD-0805;0R;';';'Thick or thin film resistor;'1%;'0805;'100mW;';
R505 R508 R509 R513 R516 ;5;SMD-0805;33R;';';'Thick or thin film resistor;'1%;'0805;'100mW;';
R615 ;1;SMD-0805;6K49;';';'Thick or thin film resistor;'1%;'0805;'100mW;';
R623 R624 ;2;SMD_MELF_0207;220;';';'MELF Resistor;'1%;'MELF0207;'400mW;';
R637 R641 ;2;SMD-0805;4k7;';';'Thick or thin film resistor;'1%;'0805;'100mW;';
R708 ;1;SMD-0805;7k5;';';'Thick or thin film resistor;'1%;'0805;'100mW;';
R704 R712 ;2;SMD-0805;100k;';';'Thick or thin film resistor;'1%;'0805;'100mW;';
R818 R819 ;2;SMD-0805;2k2;';';'Thick or thin film resistor;'1%;'0805;'100mW;';
R876 ;1;SMD-0805;43R2;';';'Thick or thin film resistor;'1%;'0805;'100mW;';
SW701 ;1;SW_TACT_SMD;SWITCH;';';'6mm x 6mm SMD tactile switch - e.g. TE FSM2JSMA;';';';';
TP401 TP402 TP403 TP404 TP405 TP406 TP407 TP408 TP411 TP412 TP413 TP414 TP415 TP416 ;14;TP-TH-1mm;PIN;
TP501 ;1;TP-1mm;PIN;
TP803 ;1;TP-1mm;PIN;';';'Text description;';';';';
U102 U103 U104 ;3;IC-SC70-6;NC7WZ16P6X;
U201 U202 ;2;IC_SOIC_8;IC-REG-ST1S40IDR;';';'ST ST1S31 SO8 3 A DC step-down switching regulator;';';';';
U301 ;1;IC-SC70-6;NC7WZ16P6X;';';'UHS Dual Buffer;';';';';
U302 ;1;IC_SPDIF_OPTO;IC-SPDIF-RX-OPTO;';';'TOSLINK receiver e.g. CLIFF FC684205R;';';';';
U303 ;1;IC_SPDIF_OPTO;IC-SPDIF-TX-OPTO;';';'TOSLINK transmitter e.g. CLIFF FC684205T;';';';';
U304 ;1;IC_SOIC_14;74HC04;';';'74HC04 Hex Inverter - SOIC-14;';';';';
U501 ;1;IC-SC70-6;NC7WZ04P6X;';';'NC7WZ04 TinyLogic UHS Dual Inverter;';';';';
U502 ;1;IC-MSOP-10;CS2200-CP;';';'Cirrus Logic CS2200-CP Fractional-N Frequency Synthesizer;';';';';
U503 ;1;IC-MSOP-10;CS2100-CP;';';'Cirrus Logic CS2100-CP Fractional-N Frequency Synthesizer;';';';';
U601 ;1;IC-LQFP48_7x7;KSZ8081MLX;';';'Microchip KSZ8081MLXCA LQFP-48 10Base-T/100Base-TX Ethernet PHY;';';';';
U701 ;1;IC-SOT23-6;TPS3808;';';'TI TPS3808 SOT-23 Reset Supervisor;';';';';
U801 ;1;IC-TQ128-XMOS-HF;IC-uC-XE216-512-TQ128;';';'XMOS 200 XE216-512-TQ128 Microcontroller;';';';';
U802 ;1;IC_SOIC_8;IC-FLASH-SPI;';';'SPI/Quad SPI Flash Memory - SOIC 8 - For use with XE-216-TQ128, XEF216-512-TQ128 has internal flash;';';';';
X501 ;1;XTAL_HC49_TH;24M000;';';'HC49 24.000MHz Crystal – 30ppm or better – 18pF;';';';';
X601 ;1;XTAL_HC49_TH;25M000;';';'HC49 25.000MHz Crystal – 50ppm or better – 18pF;';';';';
